Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
Region XII,Mindanao,"""11853,038,840,""","""19118,.15""",272.37,100.00,100.00
Cordillera Administrative Region,Luzon,"""14557,082,198,""","""2461,.79""",240.49,100.00,100.00
Region VIII,Visayas,"""18757,160,567,""","""61098,.65""",261.73,100.00,100.00
Region IX,Mindanao,"""4292,690,071,""","""49482,.39""",347.53,100.00,100.00
Region X,Mindanao,"""21108,791,834,""","""117252,.72""",363.40,100.00,100.00
Region VI,Visayas,"""19178,049,285,""",845.39,313.51,100.00,100.00
Region II,Luzon,"""22492,433,992,""","""10000,.00""",255.12,100.00,100.00
Region IV-A,Luzon,"""34613,010,963,""",738.37,256.53,99.85,100.00
National Capital Region,Luzon,"""37374,807,553,""","""323263,.60""",274.59,99.87,100.00
Region I,Luzon,"""24127,224,109,""","""1870,.63""",229.63,98.61,100.00
Region III,Luzon,"""62517,911,972,""","""2244,.01""",215.60,100.00,100.00
Region IV-B,Luzon,"""22432,789,116,""","""2975,.63""",267.13,99.69,100.00
Region V,Luzon,"""42471,531,344,""",236.28,237.27,100.00,99.58
Region XIII,Mindanao,"""18686,741,373,""",202.65,329.91,100.00,61.43
Region VII,Visayas,"""27449,467,562,""",28.30,250.73,99.79,11.29
Region XI,Mindanao,"""17878,556,405,""",0.31,291.57,100.00,0.11
